Step,Symbol,Timeframe,Net Profit (USD),Net Profit Long (USD),Net Profit Short (USD),% Profitable,% Profitable Long,% Profitable Short,Profit Factor,Profit Factor Long,Profit Factor Short,Max Drawdown (USD),Buy & Hold Return (USD),Total Closed Trades,Total Closed Trades Long,Total Closed Trades Short,Total Open Trades,Total Open Trades Long,Total Open Trades Short,Avg Trade (USD),Avg Trade Long (USD),Avg Trade Short (USD),Avg Winning Trade (USD),Avg Winning Trade Long (USD),Avg Winning Trade Short (USD),Avg Losing Trade (USD),Avg Losing Trade Long (USD),Avg Losing Trade Short (USD),Largest Winning Trade (USD),Largest Winning Trade Long (USD),Largest Winning Trade Short (USD),Largest Losing Trade (USD),Largest Losing Trade Long (USD),Largest Losing Trade Short (USD),Left Bars,Right Bars,Enable Long Entry,Enable Short Entry,Entry Type,Trigger Distance (ticks),Stop Loss (ticks),Take Profit (ticks),Trade Cutoff Time (ET),Enable Long Breakout,Enable Short Breakout,Breakout Entry Type,Breakout Trigger Distance (ticks),Breakout Stop Loss (ticks),Breakout Take Profit (ticks),Breakout Left Bars,Breakout Right Bars
1583,CME_MINI:MNQ1!,5,920,920,0,29.73,34.15,24.24,1.35,1.7,1,539.5,"191,850.00",74,41,33,0,0,0,12.43,22.44,0,160,160,160,50.98,48.89,53.33,160,160,160,60,60,60,55,55,Touch,100,80,320,,,,,,,,,,,
1788,CME_MINI:MNQ1!,5,920,920,0,31.07,34.48,26.67,1.22,1.4,1,669,"191,850.00",103,58,45,0,0,0,8.93,15.86,0,160,160,160,60,60,60,160,160,160,60,60,60,35,40,Touch,80,120,320,,,,,,,,,,,
1881,CME_MINI:MNQ1!,5,580,920,-340,29.52,36.17,24.14,1.13,1.51,0.87,780,"191,850.00",105,47,58,0,0,0,5.52,19.57,-5.86,160,160,160,60,60,60,160,160,160,60,60,60,60,10,Touch,90,120,320,,,,,,,,,,,
1991,CME_MINI:MNQ1!,5,700,920,-220,30.1,36.17,25,1.16,1.51,0.91,720,"191,850.00",103,47,56,0,0,0,6.8,19.57,-3.93,160,160,160,60,60,60,160,160,160,60,60,60,60,10,Touch,100,120,320,,,,,,,,,,,
2006,CME_MINI:MNQ1!,5,360,920,-560,28.57,34.48,21.28,1.08,1.4,0.74,680,"191,850.00",105,58,47,0,0,0,3.43,15.86,-11.91,160,160,160,60,60,60,160,160,160,60,60,60,25,40,Touch,100,120,320,,,,,,,,,,,
2098,CME_MINI:MNQ1!,5,640,920,-280,29.81,36.17,24.56,1.15,1.51,0.89,660,"191,850.00",104,47,57,0,0,0,6.15,19.57,-4.91,160,160,160,60,60,60,160,160,160,60,60,60,45,10,Touch,110,120,320,,,,,,,,,,,
2099,CME_MINI:MNQ1!,5,800,920,-120,30.48,36.17,25.86,1.19,1.51,0.95,660,"191,850.00",105,47,58,0,0,0,7.62,19.57,-2.07,160,160,160,60,60,60,160,160,160,60,60,60,50,10,Touch,110,120,320,,,,,,,,,,,
1212,CME_MINI:MNQ1!,5,"1,050.00",910,140,38.02,42.11,34.38,1.2,1.38,1.05,900,"191,850.00",121,57,64,0,0,0,8.68,15.96,2.19,139.78,138.75,140.91,72.7,73.33,72.2,160,160,160,80,80,80,15,10,Touch,110,160,260,,,,,,,,,,,
1238,CME_MINI:MNQ1!,5,"1,100.00",910,190,38.78,41.82,34.88,1.26,1.39,1.1,449,"191,850.00",98,55,43,0,0,0,11.22,16.55,4.42,139.47,140.43,138,71.19,72.5,69.63,160,160,160,80,80,80,35,40,Touch,110,160,260,,,,,,,,,,,
1977,CME_MINI:MNQ1!,5,"1,515.00",908,607,41.27,44.12,37.93,1.63,1.69,1.55,407,"191,850.00",63,34,29,0,0,0,24.05,26.71,20.93,151.29,148.1,155.64,65.36,69.13,61.39,160,160,160,129.5,129.5,81,45,70,Close,90,120,320,,,,,,,,,,,
2087,CME_MINI:MNQ1!,5,"1,515.00",908,607,41.27,44.12,37.93,1.63,1.69,1.55,407,"191,850.00",63,34,29,0,0,0,24.05,26.71,20.93,151.29,148.1,155.64,65.36,69.13,61.39,160,160,160,129.5,129.5,81,45,70,Close,100,120,320,,,,,,,,,,,
43,CME_MINI:MNQ1!,5,800,900,-100,30.26,35.71,23.53,1.3,1.68,0.92,569.5,"191,850.00",76,42,34,0,0,0,10.53,21.43,-2.94,149.57,148,152.5,50.77,48.89,52.8,160,160,160,60,60,60,55,55,Touch,80,80,260,,,,,,,,,,,
126,CME_MINI:MNQ1!,5,870,900,-30,28.1,31.34,24.07,1.22,1.44,0.98,570,"191,850.00",121,67,54,0,0,0,7.19,13.43,-0.56,141.47,140,143.85,45.81,44.35,47.5,160,160,160,60,60,60,30,25,Touch,90,80,260,,,,,,,,,,,
233,CME_MINI:MNQ1!,5,260,900,-640,25,30.88,18.75,1.06,1.44,0.72,755.5,"191,850.00",132,68,64,0,0,0,1.97,13.24,-10,140,140,140,44.49,43.4,45.49,160,160,160,60,60,60,15,25,Touch,100,80,260,,,,,,,,,,,
665,CME_MINI:MNQ1!,5,640,900,-260,32.17,38.18,26.67,1.14,1.44,0.9,"1,062.00","191,850.00",115,55,60,0,0,0,5.57,16.36,-4.33,142.16,140,145,60,60,60,160,160,160,60,60,60,30,10,Touch,100,120,260,,,,,,,,,,,
1002,CME_MINI:MNQ1!,5,560,900,-340,37.14,41.67,32.35,1.09,1.28,0.9,"1,277.00","191,850.00",140,72,68,0,0,0,4,12.5,-5,135.77,136,135.45,74.71,75.71,73.78,160,160,160,80,80,80,10,25,Touch,90,160,260,,,,,,,,,,,
1354,CME_MINI:MNQ1!,5,180,900,-720,22.41,29.63,16.13,1.05,1.54,0.69,525,"191,850.00",116,54,62,0,0,0,1.55,16.67,-11.61,160,160,160,44.72,43.68,45.49,160,160,160,60,60,60,10,55,Touch,80,80,320,,,,,,,,,,,
1369,CME_MINI:MNQ1!,5,900,900,0,29.11,32.61,24.24,1.32,1.6,1,479.5,"191,850.00",79,46,33,0,0,0,11.39,19.57,0,160,160,160,50.55,48.39,53.33,160,160,160,60,60,60,30,70,Touch,80,80,320,,,,,,,,,,,
1370,CME_MINI:MNQ1!,5,"1,020.00",900,120,30.26,32.61,26.67,1.38,1.6,1.1,479.5,"191,850.00",76,46,30,0,0,0,13.42,19.57,4,160,160,160,51.15,48.39,55.24,160,160,160,60,60,60,35,70,Touch,80,80,320,,,,,,,,,,,
1371,CME_MINI:MNQ1!,5,"1,180.00",900,280,31.94,34.15,29.03,1.47,1.67,1.24,439.5,"191,850.00",72,41,31,0,0,0,16.39,21.95,9.03,160,160,160,52.08,49.63,55.24,160,160,160,60,60,60,40,70,Touch,80,80,320,,,,,,,,,,,
1680,CME_MINI:MNQ1!,5,880,900,-20,27.78,31.37,23.08,1.28,1.54,0.99,459.5,"191,850.00",90,51,39,0,0,0,9.78,17.65,-0.51,160,160,160,48.75,47.43,50.34,160,160,160,60,60,60,45,40,Touch,110,80,320,,,,,,,,,,,
1690,CME_MINI:MNQ1!,5,900,900,0,29.11,34.15,23.68,1.32,1.67,1,539.5,"191,850.00",79,41,38,0,0,0,11.39,21.95,0,160,160,160,50.55,49.63,51.43,160,160,160,60,60,60,40,55,Touch,110,80,320,,,,,,,,,,,
1772,CME_MINI:MNQ1!,5,120,900,-780,27.46,32.88,21.74,1.02,1.31,0.75,"1,247.00","191,850.00",142,73,69,0,0,0,0.85,12.33,-11.3,160,160,160,60,60,60,160,160,160,60,60,60,10,25,Touch,80,120,320,,,,,,,,,,,
1799,CME_MINI:MNQ1!,5,"1,260.00",900,360,33.33,35.29,30.77,1.36,1.45,1.23,799.5,"191,850.00",90,51,39,0,0,0,14,17.65,9.23,160,160,160,60,60,60,160,160,160,60,60,60,35,55,Touch,80,120,320,,,,,,,,,,,
1908,CME_MINI:MNQ1!,5,920,900,20,31.52,35.29,26.83,1.25,1.45,1.01,799.5,"191,850.00",92,51,41,0,0,0,10,17.65,0.49,160,160,160,60,60,60,160,160,160,60,60,60,30,55,Touch,90,120,320,,,,,,,,,,,
2114,CME_MINI:MNQ1!,5,-80,900,-980,26.72,33.87,18.52,0.98,1.37,0.62,889,"191,850.00",116,62,54,0,0,0,-0.69,14.52,-18.15,160,160,160,60,60,60,160,160,160,60,60,60,15,40,Touch,110,120,320,,,,,,,,,,,
