Step,Symbol,Timeframe,Net Profit (USD),Net Profit Long (USD),Net Profit Short (USD),% Profitable,% Profitable Long,% Profitable Short,Profit Factor,Profit Factor Long,Profit Factor Short,Max Drawdown (USD),Buy & Hold Return (USD),Total Closed Trades,Total Closed Trades Long,Total Closed Trades Short,Total Open Trades,Total Open Trades Long,Total Open Trades Short,Avg Trade (USD),Avg Trade Long (USD),Avg Trade Short (USD),Avg Winning Trade (USD),Avg Winning Trade Long (USD),Avg Winning Trade Short (USD),Avg Losing Trade (USD),Avg Losing Trade Long (USD),Avg Losing Trade Short (USD),Largest Winning Trade (USD),Largest Winning Trade Long (USD),Largest Winning Trade Short (USD),Largest Losing Trade (USD),Largest Losing Trade Long (USD),Largest Losing Trade Short (USD),Left Bars,Right Bars,Enable Long Entry,Enable Short Entry,Entry Type,Trigger Distance (ticks),Stop Loss (ticks),Take Profit (ticks),Trade Cutoff Time (ET),Enable Long Breakout,Enable Short Breakout,Breakout Entry Type,Breakout Trigger Distance (ticks),Breakout Stop Loss (ticks),Breakout Take Profit (ticks),Breakout Left Bars,Breakout Right Bars
1438,CME_MINI:MNQ1!,5,420,620,-200,24.07,28.57,20.34,1.11,1.38,0.91,659,"191,850.00",108,49,59,0,0,0,3.89,12.65,-3.39,160,160,160,46.17,46.29,46.09,160,160,160,60,60,60,45,10,Touch,90,80,320,,,,,,,,,,,
1439,CME_MINI:MNQ1!,5,560,620,-60,24.77,28.57,21.67,1.15,1.38,0.97,600,"191,850.00",109,49,60,0,0,0,5.14,12.65,-1,160,160,160,46.42,46.29,46.52,160,160,160,60,60,60,50,10,Touch,90,80,320,,,,,,,,,,,
1450,CME_MINI:MNQ1!,5,700,620,80,26,27.78,23.91,1.2,1.35,1.05,680,"191,850.00",100,54,46,0,0,0,7,11.48,1.74,160,160,160,47.4,45.64,49.41,160,160,160,60,60,60,50,25,Touch,90,80,320,,,,,,,,,,,
1453,CME_MINI:MNQ1!,5,-560,620,"-1,180.00",19.2,25.76,11.86,0.87,1.3,0.49,"1,211.00","191,850.00",125,66,59,0,0,0,-4.48,9.39,-20,160,160,160,44,42.86,45.1,160,160,160,60,60,60,10,40,Touch,90,80,320,,,,,,,,,,,
1466,CME_MINI:MNQ1!,5,240,620,-380,23.47,28,18.75,1.07,1.38,0.79,520,"191,850.00",98,50,48,0,0,0,2.45,12.4,-7.92,160,160,160,46.49,45,47.89,160,160,160,60,60,60,20,55,Touch,90,80,320,,,,,,,,,,,
1548,CME_MINI:MNQ1!,5,460,620,-160,24.3,28.57,20.69,1.12,1.38,0.92,619,"191,850.00",107,49,58,0,0,0,4.3,12.65,-2.76,160,160,160,46.25,46.29,46.22,160,160,160,60,60,60,45,10,Touch,100,80,320,,,,,,,,,,,
1549,CME_MINI:MNQ1!,5,600,620,-20,25,28.57,22.03,1.16,1.38,0.99,560,"191,850.00",108,49,59,0,0,0,5.56,12.65,-0.34,160,160,160,46.5,46.29,46.67,160,160,160,60,60,60,50,10,Touch,100,80,320,,,,,,,,,,,
1563,CME_MINI:MNQ1!,5,-520,620,"-1,140.00",19.35,25.76,12.07,0.88,1.3,0.5,"1,171.00","191,850.00",124,66,58,0,0,0,-4.19,9.39,-19.66,160,160,160,44.04,42.86,45.2,160,160,160,60,60,60,10,40,Touch,100,80,320,,,,,,,,,,,
1657,CME_MINI:MNQ1!,5,460,620,-160,24.3,28.57,20.69,1.12,1.38,0.92,539,"191,850.00",107,49,58,0,0,0,4.3,12.65,-2.76,160,160,160,46.25,46.29,46.22,160,160,160,60,60,60,40,10,Touch,110,80,320,,,,,,,,,,,
1695,CME_MINI:MNQ1!,5,440,620,-180,24.73,28.89,20.83,1.14,1.42,0.9,600,"191,850.00",93,45,48,0,0,0,4.73,13.78,-3.75,160,160,160,46.96,45.63,48.11,160,160,160,60,60,60,10,70,Touch,110,80,320,,,,,,,,,,,
1770,CME_MINI:MNQ1!,5,380,620,-240,28.57,32.69,25,1.08,1.3,0.91,780,"191,850.00",112,52,60,0,0,0,3.39,11.92,-4,160,160,160,60,60,60,160,160,160,60,60,60,55,10,Touch,80,120,320,,,,,,,,,,,
1811,CME_MINI:MNQ1!,5,"1,020.00",620,400,33.33,34.15,32.26,1.36,1.38,1.33,539.5,"191,850.00",72,41,31,0,0,0,14.17,15.12,12.9,160,160,160,60,60,60,160,160,160,60,60,60,40,70,Touch,80,120,320,,,,,,,,,,,
1900,CME_MINI:MNQ1!,5,760,620,140,30.77,32.69,28.21,1.2,1.3,1.09,639.5,"191,850.00",91,52,39,0,0,0,8.35,11.92,3.59,160,160,160,60,60,60,160,160,160,60,60,60,45,40,Touch,90,120,320,,,,,,,,,,,
1912,CME_MINI:MNQ1!,5,"1,060.00",620,440,33.33,34.15,32.35,1.36,1.38,1.33,679.5,"191,850.00",75,41,34,0,0,0,14.13,15.12,12.94,160,160,160,60,60,60,160,160,160,60,60,60,50,55,Touch,90,120,320,,,,,,,,,,,
1913,CME_MINI:MNQ1!,5,900,620,280,32.43,34.15,30.3,1.31,1.38,1.21,679.5,"191,850.00",74,41,33,0,0,0,12.16,15.12,8.48,160,160,160,60,60,60,160,160,160,60,60,60,55,55,Touch,90,120,320,,,,,,,,,,,
2010,CME_MINI:MNQ1!,5,760,620,140,30.77,32.69,28.21,1.2,1.3,1.09,639.5,"191,850.00",91,52,39,0,0,0,8.35,11.92,3.59,160,160,160,60,60,60,160,160,160,60,60,60,45,40,Touch,100,120,320,,,,,,,,,,,
2022,CME_MINI:MNQ1!,5,"1,060.00",620,440,33.33,34.15,32.35,1.36,1.38,1.33,679.5,"191,850.00",75,41,34,0,0,0,14.13,15.12,12.94,160,160,160,60,60,60,160,160,160,60,60,60,50,55,Touch,100,120,320,,,,,,,,,,,
2023,CME_MINI:MNQ1!,5,900,620,280,32.43,34.15,30.3,1.31,1.38,1.21,679.5,"191,850.00",74,41,33,0,0,0,12.16,15.12,8.48,160,160,160,60,60,60,160,160,160,60,60,60,55,55,Touch,100,120,320,,,,,,,,,,,
655,CME_MINI:MNQ1!,5,"1,023.50",614,409.5,40.3,42.11,37.93,1.39,1.4,1.37,407,"191,850.00",67,38,29,0,0,0,15.28,16.16,14.12,136.28,135.31,137.68,66.4,70.5,61.39,160,160,160,129.5,129.5,81,35,70,Close,90,120,260,,,,,,,,,,,
765,CME_MINI:MNQ1!,5,"1,023.50",614,409.5,40.3,42.11,37.93,1.39,1.4,1.37,407,"191,850.00",67,38,29,0,0,0,15.28,16.16,14.12,136.28,135.31,137.68,66.4,70.5,61.39,160,160,160,129.5,129.5,81,35,70,Close,100,120,260,,,,,,,,,,,
216,CME_MINI:MNQ1!,5,"1,221.00",611.5,609.5,40,40,40,1.52,1.47,1.57,367,"191,850.00",65,35,30,0,0,0,18.78,17.47,20.32,138.08,136.82,139.54,60.74,62.1,59.17,160,160,160,109.5,109.5,61,40,70,Close,90,80,260,,,,,,,,,,,
326,CME_MINI:MNQ1!,5,"1,221.00",611.5,609.5,40,40,40,1.52,1.47,1.57,367,"191,850.00",65,35,30,0,0,0,18.78,17.47,20.32,138.08,136.82,139.54,60.74,62.1,59.17,160,160,160,109.5,109.5,61,40,70,Close,100,80,260,,,,,,,,,,,
1031,CME_MINI:MNQ1!,5,830,610,220,36.71,39.53,33.33,1.25,1.33,1.14,719.5,"191,850.00",79,43,36,0,0,0,10.51,14.19,6.11,144.48,144.12,145,68.57,70.77,66.09,160,160,160,80,80,80,45,55,Touch,90,160,260,,,,,,,,,,,
1141,CME_MINI:MNQ1!,5,830,610,220,36.71,39.53,33.33,1.25,1.33,1.14,719.5,"191,850.00",79,43,36,0,0,0,10.51,14.19,6.11,144.48,144.12,145,68.57,70.77,66.09,160,160,160,80,80,80,45,55,Touch,100,160,260,,,,,,,,,,,
1537,CME_MINI:MNQ1!,5,"1,255.00",608,647,38.1,38.24,37.93,1.53,1.47,1.61,367,"191,850.00",63,34,29,0,0,0,19.92,17.88,22.31,151,147.08,155.64,60.74,62.1,59.17,160,160,160,109.5,109.5,61,45,70,Close,90,80,320,,,,,,,,,,,
