Step,Symbol,Timeframe,Net Profit (USD),Net Profit Long (USD),Net Profit Short (USD),% Profitable,% Profitable Long,% Profitable Short,Profit Factor,Profit Factor Long,Profit Factor Short,Max Drawdown (USD),Buy & Hold Return (USD),Total Closed Trades,Total Closed Trades Long,Total Closed Trades Short,Total Open Trades,Total Open Trades Long,Total Open Trades Short,Avg Trade (USD),Avg Trade Long (USD),Avg Trade Short (USD),Avg Winning Trade (USD),Avg Winning Trade Long (USD),Avg Winning Trade Short (USD),Avg Losing Trade (USD),Avg Losing Trade Long (USD),Avg Losing Trade Short (USD),Largest Winning Trade (USD),Largest Winning Trade Long (USD),Largest Winning Trade Short (USD),Largest Losing Trade (USD),Largest Losing Trade Long (USD),Largest Losing Trade Short (USD),Doji Body Threshold (%),Star Gap Threshold (%),Minimum Body Size for Star Pattern (%),Maximum Middle Candle Body Size (%),Trade Quantity,Risk/Reward Ratio,Maximum Trades Per Day,Trading Start Hour (ET),Trading Start Minute,Trading End Hour (ET),Trading End Minute,Force Close Hour (ET),Force Close Minute,Use ADX Filter,ADX Length,ADX Threshold,Show Pattern Markers,Show Pattern Labels,Show SL/TP Levels,Marker Size
4757,"CME_MINI:MES1!","30","1,507.50","-128.75","1,636.25","47.40","44.95","50.60","1.21","0.97","1.55","1,162.50","645,787.50",192,109,83,0,0,0,"7.85","-1.18","19.71","95.70","83.80","109.58","72.74","71.78","74.16","632.50","246.25","632.50","532.50","221.25","532.50",10,5,55,55,1,2,5,8,0,14,0,15,50,"true",21,20,"false","false","false","Normal"
4758,"CME_MINI:MES1!","30","1,112.50","297.50","815.00","49.65","49.35","50.00","1.20","1.10","1.33","1,322.50","646,871.25",143,77,66,0,0,0,"7.78","3.86","12.35","94.31","88.82","100.64","79.77","80.99","78.32","267.50","246.25","267.50","532.50","221.25","532.50",10,5,60,55,1,2,5,8,0,14,0,15,50,"true",21,20,"false","false","false","Normal"
4759,"CME_MINI:MES1!","30","345.00","257.50","87.50","48.89","50.00","47.37","1.09","1.12","1.05","1,232.50","577,526.25",90,52,38,0,0,0,"3.83","4.95","2.30","95.26","89.95","102.92","85.47","83.25","88.25","267.50","207.50","267.50","532.50","221.25","532.50",10,5,65,55,1,2,5,8,0,14,0,15,50,"true",21,20,"false","false","false","Normal"
4760,"CME_MINI:MES1!","30","677.50","178.75","498.75","51.85","51.52","52.38","1.35","1.15","1.68","616.25","537,780.00",54,33,21,0,0,0,"12.55","5.42","23.75","93.75","82.13","111.70","77.90","81.17","73.00","267.50","186.25","267.50","221.25","221.25","178.75",10,5,70,55,1,2,5,8,0,14,0,15,50,"true",21,20,"false","false","false","Normal"
4761,"CME_MINI:MES1!","30","477.50","52.50","425.00","51.43","45.00","60.00","1.44","1.08","2.00","392.50","541,740.00",35,20,15,0,0,0,"13.64","2.63","28.33","87.08","79.72","94.44","68.13","66.50","70.83","232.50","186.25","232.50","178.75","123.75","178.75",10,5,75,55,1,2,5,8,0,14,0,15,50,"true",21,20,"false","false","false","Normal"
4762,"CME_MINI:MES1!","30","1,300.00","185.00","1,115.00","41.89","40.64","43.11","1.08","1.02","1.13","1,480.00","646,488.75",444,219,225,1,1,0,"2.93","0.84","4.96","96.65","90.18","102.59","65.15","60.78","69.58","632.50","607.50","632.50","532.50","251.25","532.50",10,5,35,60,1,2,5,8,0,14,0,15,50,"true",21,20,"false","false","false","Normal"
4763,"CME_MINI:MES1!","30","1,502.50","126.25","1,376.25","44.01","41.97","46.07","1.10","1.02","1.18","1,643.75","646,297.50",384,193,191,1,1,0,"3.91","0.65","7.21","94.60","84.57","103.84","68.00","60.57","76.09","632.50","246.25","632.50","532.50","251.25","532.50",10,5,40,60,1,2,5,8,0,14,0,15,50,"true",21,20,"false","false","false","Normal"
4764,"CME_MINI:MES1!","30","2,080.00","220.00","1,860.00","45.17","44.12","46.36","1.17","1.03","1.33","1,555.00","646,297.50",321,170,151,0,0,0,"6.48","1.29","12.32","96.66","87.05","106.95","68.59","67.11","70.33","632.50","246.25","632.50","532.50","251.25","532.50",10,5,45,60,1,2,5,8,0,14,0,15,50,"true",21,20,"false","false","false","Normal"
4765,"CME_MINI:MES1!","30","2,231.25","220.00","2,011.25","46.69","44.06","49.61","1.22","1.04","1.41","1,350.00","646,297.50",272,143,129,0,0,0,"8.20","1.54","15.59","98.12","88.93","107.17","71.54","68.13","75.74","632.50","246.25","632.50","532.50","221.25","532.50",10,5,50,60,1,2,5,8,0,14,0,15,50,"true",21,20,"false","false","false","Normal"
4766,"CME_MINI:MES1!","30","2,371.25","280.00","2,091.25","48.06","46.02","50.54","1.31","1.07","1.62","1,212.50","646,170.00",206,113,93,0,0,0,"11.51","2.48","22.49","101.07","87.07","116.57","72.71","70.79","75.28","632.50","246.25","632.50","532.50","221.25","532.50",10,5,55,60,1,2,5,8,0,14,0,15,50,"true",21,20,"false","false","false","Normal"
4767,"CME_MINI:MES1!","30","1,625.00","558.75","1,066.25","48.72","49.38","48.00","1.27","1.18","1.36","1,498.75","646,807.50",156,81,75,0,0,0,"10.42","6.90","14.22","101.79","91.84","112.85","78.35","77.88","78.85","323.75","246.25","323.75","532.50","221.25","532.50",10,5,60,60,1,2,5,8,0,14,0,15,50,"true",21,20,"false","false","false","Normal"
