Step,Symbol,Timeframe,Net Profit (USD),Net Profit Long (USD),Net Profit Short (USD),% Profitable,% Profitable Long,% Profitable Short,Profit Factor,Profit Factor Long,Profit Factor Short,Max Drawdown (USD),Buy & Hold Return (USD),Total Closed Trades,Total Closed Trades Long,Total Closed Trades Short,Total Open Trades,Total Open Trades Long,Total Open Trades Short,Avg Trade (USD),Avg Trade Long (USD),Avg Trade Short (USD),Avg Winning Trade (USD),Avg Winning Trade Long (USD),Avg Winning Trade Short (USD),Avg Losing Trade (USD),Avg Losing Trade Long (USD),Avg Losing Trade Short (USD),Largest Winning Trade (USD),Largest Winning Trade Long (USD),Largest Winning Trade Short (USD),Largest Losing Trade (USD),Largest Losing Trade Long (USD),Largest Losing Trade Short (USD),Doji Body Threshold (%),Star Gap Threshold (%),Minimum Body Size for Star Pattern (%),Maximum Middle Candle Body Size (%),Trade Quantity,Risk/Reward Ratio,Maximum Trades Per Day,Trading Start Hour (ET),Trading Start Minute,Trading End Hour (ET),Trading End Minute,Force Close Hour (ET),Force Close Minute,Use ADX Filter,ADX Length,ADX Threshold,Show Pattern Markers,Show Pattern Labels,Show SL/TP Levels,Marker Size
89,"CME_MINI:MES1!","15","2,955.00","1,240.00","1,715.00","50.59","57.45","42.11","1.98","1.71","2.34","587.50","131,556.25",85,47,38,0,0,0,"34.76","26.38","45.13","139.07","110.42","187.42","72.02","87.06","58.35","577.50","406.25","577.50","367.50","367.50","133.75",10,5,70,60,1,2,5,7,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
90,"CME_MINI:MES1!","15","1,475.00","840.00","635.00","51.67","60.00","40.00","1.61","1.60","1.62","1,008.75","129,718.75",60,35,25,0,0,0,"24.58","24.00","25.40","125.73","106.96","165.13","83.53","100.45","67.75","406.25","406.25","341.25","367.50","367.50","133.75",10,5,75,60,1,2,5,7,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
91,"CME_MINI:MES1!","15","-1,410.00","-536.25","-873.75","38.19","43.84","32.39","0.78","0.86","0.68","2,778.75","144,637.50",144,73,71,0,0,0,"-9.79","-7.35","-12.31","92.93","100.55","82.34","73.27","91.55","57.66","227.50","227.50","156.25","625.00","625.00","165.00",10,5,35,15,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
92,"CME_MINI:MES1!","15","-1,363.75","-568.75","-795.00","38.21","43.75","32.20","0.77","0.84","0.66","2,753.75","144,637.50",123,64,59,0,0,0,"-11.09","-8.89","-13.47","94.95","103.13","82.89","76.66","96.01","59.25","227.50","227.50","151.25","625.00","625.00","165.00",10,5,40,15,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
93,"CME_MINI:MES1!","15","-1,756.25","-985.00","-771.25","35.05","40.00","28.57","0.66","0.69","0.59","2,761.25","145,031.25",97,55,42,0,0,0,"-18.11","-17.91","-18.36","98.31","101.25","92.92","80.93","97.35","62.88","227.50","227.50","151.25","625.00","625.00","165.00",10,5,45,15,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
94,"CME_MINI:MES1!","15","-1,897.50","-1,226.25","-671.25","34.57","39.13","28.57","0.58","0.58","0.59","2,730.00","145,075.00",81,46,35,0,0,0,"-23.43","-26.66","-19.18","95.36","93.68","98.38","86.18","104.02","66.20","227.50","227.50","151.25","625.00","625.00","165.00",10,5,50,15,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
95,"CME_MINI:MES1!","15","-366.25","-57.50","-308.75","36.36","38.71","33.33","0.85","0.96","0.72","1,246.25","156,870.00",55,31,24,0,0,0,"-6.66","-1.85","-12.86","100.38","102.40","97.34","67.82","67.70","67.97","227.50","227.50","151.25","165.00","137.50","165.00",10,5,55,15,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
96,"CME_MINI:MES1!","15","-12.50","392.50","-405.00","40.91","50.00","27.78","0.99","1.43","0.56","1,143.75","167,895.00",44,26,18,0,0,0,"-0.28","15.10","-22.50","100.49","99.81","102.25","70.05","69.62","70.48","227.50","227.50","151.25","165.00","125.00","165.00",10,5,60,15,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
97,"CME_MINI:MES1!","15","135.00","357.50","-222.50","46.88","55.00","33.33","1.11","1.58","0.66","772.50","167,850.00",32,20,12,0,0,0,"4.22","17.88","-18.54","92.75","88.07","105.63","73.90","67.92","80.63","227.50","227.50","151.25","165.00","105.00","165.00",10,5,65,15,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
98,"CME_MINI:MES1!","15","525.00","475.00","50.00","57.14","66.67","33.33","1.92","2.29","1.25","552.50","107,227.50",21,15,6,0,0,0,"25.00","31.67","8.33","91.25","84.25","126.25","63.33","73.50","50.63","227.50","227.50","130.00","105.00","105.00","82.50",10,5,70,15,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
99,"CME_MINI:MES1!","15","538.75","537.50","1.25","69.23","80.00","33.33","2.72","3.93","1.01","313.75","91,927.50",13,10,3,0,0,0,"41.44","53.75","0.42","94.58","90.16","130.00","78.13","91.88","64.38","227.50","227.50","130.00","92.50","92.50","82.50",10,5,75,15,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
100,"CME_MINI:MES1!","15","-1,452.50","-752.50","-700.00","36.36","39.58","32.97","0.83","0.84","0.82","2,593.75","144,637.50",187,96,91,0,0,0,"-7.77","-7.84","-7.69","105.75","107.17","103.96","72.64","83.19","62.60","517.50","517.50","353.75","625.00","625.00","177.50",10,5,35,20,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
101,"CME_MINI:MES1!","15","-976.25","-651.25","-325.00","37.34","40.00","34.62","0.87","0.85","0.90","2,336.25","144,681.25",158,80,78,0,0,0,"-6.18","-8.14","-4.17","109.83","113.16","105.88","75.32","89.01","62.43","517.50","517.50","353.75","625.00","625.00","177.50",10,5,40,20,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
102,"CME_MINI:MES1!","15","-1,457.50","-1,157.50","-300.00","35.20","37.31","32.76","0.78","0.70","0.89","2,422.50","145,031.25",125,67,58,0,0,0,"-11.66","-17.28","-5.17","116.16","110.60","123.49","81.10","93.39","67.85","517.50","517.50","353.75","625.00","625.00","177.50",10,5,45,20,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
103,"CME_MINI:MES1!","15","-1,571.25","-1,253.75","-317.50","34.62","35.71","33.33","0.72","0.64","0.85","2,526.25","144,987.50",104,56,48,0,0,0,"-15.11","-22.39","-6.61","113.13","110.56","116.33","83.00","96.25","68.09","517.50","517.50","321.25","625.00","625.00","165.00",10,5,50,20,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
104,"CME_MINI:MES1!","15","336.25","141.25","195.00","38.03","38.46","37.50","1.11","1.08","1.15","1,126.25","156,915.00",71,39,32,0,0,0,"4.74","3.62","6.09","124.17","122.08","126.77","68.55","70.42","66.31","517.50","517.50","321.25","165.00","137.50","165.00",10,5,55,20,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
105,"CME_MINI:MES1!","15","816.25","888.75","-72.50","44.44","51.61","34.78","1.40","1.88","0.93","833.75","167,850.00",54,31,23,0,0,0,"15.12","28.67","-3.15","118.70","118.75","118.59","67.75","67.42","68.08","517.50","517.50","321.25","165.00","125.00","165.00",10,5,60,20,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
106,"CME_MINI:MES1!","15","465.00","303.75","161.25","50.00","54.55","42.86","1.35","1.45","1.25","727.50","167,940.00",36,22,14,0,0,0,"12.92","13.81","11.52","99.03","81.35","134.38","73.19","67.25","80.63","321.25","227.50","321.25","165.00","105.00","165.00",10,5,65,20,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
107,"CME_MINI:MES1!","15","587.50","475.00","112.50","59.09","66.67","42.86","2.03","2.29","1.56","552.50","107,227.50",22,15,7,0,0,0,"26.70","31.67","16.07","89.04","84.25","105.00","63.33","73.50","50.63","227.50","227.50","130.00","105.00","105.00","82.50",10,5,70,20,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
108,"CME_MINI:MES1!","15","538.75","537.50","1.25","69.23","80.00","33.33","2.72","3.93","1.01","313.75","92,012.50",13,10,3,0,0,0,"41.44","53.75","0.42","94.58","90.16","130.00","78.13","91.88","64.38","227.50","227.50","130.00","92.50","92.50","82.50",10,5,75,20,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
109,"CME_MINI:MES1!","15","-1,076.25","-353.75","-722.50","37.05","42.61","31.19","0.89","0.93","0.83","2,598.75","144,768.75",224,115,109,0,0,0,"-4.80","-3.08","-6.63","101.81","98.47","106.62","67.56","78.47","57.97","517.50","517.50","353.75","625.00","625.00","177.50",10,5,35,25,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
110,"CME_MINI:MES1!","15","-641.25","-270.00","-371.25","37.63","42.86","32.29","0.92","0.94","0.90","2,341.25","144,725.00",194,98,96,0,0,0,"-3.31","-2.76","-3.87","104.83","103.42","106.73","68.54","82.39","56.62","517.50","517.50","353.75","625.00","625.00","177.50",10,5,40,25,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
111,"CME_MINI:MES1!","15","-1,702.50","-1,168.75","-533.75","34.87","39.24","30.14","0.77","0.72","0.83","2,411.25","145,031.25",152,79,73,0,0,0,"-11.20","-14.79","-7.31","106.77","98.99","117.73","74.36","88.28","61.25","517.50","517.50","353.75","625.00","625.00","177.50",10,5,45,25,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
112,"CME_MINI:MES1!","15","-1,286.25","-941.25","-345.00","37.01","39.71","33.90","0.79","0.75","0.86","2,326.25","145,075.00",127,68,59,0,0,0,"-10.13","-13.84","-5.85","104.15","104.12","104.19","77.27","91.52","62.28","517.50","517.50","321.25","625.00","625.00","165.00",10,5,50,25,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
113,"CME_MINI:MES1!","15","635.00","381.25","253.75","41.86","43.48","40.00","1.19","1.21","1.17","967.50","156,825.00",86,46,40,0,0,0,"7.38","8.29","6.34","109.24","109.44","108.98","65.95","69.52","62.08","517.50","517.50","321.25","165.00","137.50","165.00",10,5,55,25,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
114,"CME_MINI:MES1!","15","1,126.25","1,168.75","-42.50","48.44","57.14","37.93","1.51","2.14","0.96","833.75","167,715.00",64,35,29,0,0,0,"17.60","33.39","-1.47","107.30","109.88","102.61","66.67","68.58","65.07","517.50","517.50","321.25","165.00","125.00","165.00",10,5,60,25,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
115,"CME_MINI:MES1!","15","455.00","380.00","75.00","51.16","60.00","38.89","1.31","1.55","1.09","727.50","167,760.00",43,25,18,0,0,0,"10.58","15.20","4.17","88.18","71.33","124.29","70.71","69.00","72.27","321.25","227.50","321.25","165.00","105.00","165.00",10,5,65,25,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
116,"CME_MINI:MES1!","15","478.75","458.75","20.00","53.57","63.16","33.33","1.63","1.98","1.07","552.50","107,057.50",28,19,9,0,0,0,"17.10","24.14","2.22","82.75","77.19","105.00","58.65","66.79","49.17","227.50","227.50","130.00","105.00","105.00","86.25",10,5,70,25,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
117,"CME_MINI:MES1!","15","617.50","616.25","1.25","71.43","81.82","33.33","2.98","4.35","1.01","313.75","91,587.50",14,11,3,0,0,0,"44.11","56.02","0.42","93.00","88.89","130.00","78.13","91.88","64.38","227.50","227.50","130.00","92.50","92.50","82.50",10,5,75,25,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
118,"CME_MINI:MES1!","15","-1,086.25","-760.00","-326.25","36.64","40.29","32.52","0.90","0.88","0.93","2,668.75","144,331.25",262,139,123,0,0,0,"-4.15","-5.47","-2.65","104.40","97.95","113.44","66.92","75.24","58.60","577.50","517.50","577.50","625.00","625.00","177.50",10,5,35,30,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
119,"CME_MINI:MES1!","15","-265.00","-497.50","232.50","37.99","41.32","34.26","0.97","0.91","1.06","2,311.25","144,375.00",229,121,108,0,0,0,"-1.16","-4.11","2.15","108.55","102.13","117.23","68.37","78.93","57.82","577.50","517.50","577.50","625.00","625.00","177.50",10,5,40,30,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
120,"CME_MINI:MES1!","15","-872.50","-1,046.25","173.75","36.76","40.00","32.94","0.90","0.79","1.05","2,048.75","144,856.25",185,100,85,0,0,0,"-4.72","-10.46","2.04","110.92","98.09","129.24","71.92","82.83","60.44","577.50","517.50","577.50","625.00","625.00","177.50",10,5,45,30,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
121,"CME_MINI:MES1!","15","-306.25","-781.25","475.00","39.49","40.70","38.03","0.96","0.82","1.17","1,901.25","144,768.75",157,86,71,0,0,0,"-1.95","-9.08","6.69","110.24","103.89","118.47","75.17","86.62","61.90","577.50","517.50","577.50","625.00","625.00","165.00",10,5,50,30,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
122,"CME_MINI:MES1!","15","1,590.00","393.75","1,196.25","43.81","42.11","45.83","1.42","1.18","1.76","963.75","156,105.00",105,57,48,0,0,0,"15.14","6.91","24.92","116.55","107.60","126.31","63.92","66.33","60.87","577.50","517.50","577.50","165.00","137.50","165.00",10,5,55,30,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
123,"CME_MINI:MES1!","15","2,217.50","1,360.00","857.50","51.28","55.81","45.71","1.90","2.10","1.69","830.00","166,995.00",78,43,35,0,0,0,"28.43","31.63","24.50","117.25","107.97","131.17","65.07","64.80","65.33","577.50","517.50","577.50","165.00","125.00","165.00",10,5,60,30,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
124,"CME_MINI:MES1!","15","1,660.00","648.75","1,011.25","55.56","58.82","50.00","1.99","1.73","2.28","727.50","166,995.00",54,34,20,0,0,0,"30.74","19.08","50.56","111.38","77.06","180.00","70.05","63.75","78.88","577.50","227.50","577.50","165.00","105.00","165.00",10,5,65,30,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
125,"CME_MINI:MES1!","15","1,470.00","520.00","950.00","55.56","58.33","50.00","2.62","1.85","4.22","470.00","106,377.50",36,24,12,0,0,0,"40.83","21.67","79.17","119.00","81.07","207.50","56.88","61.50","49.17","577.50","227.50","577.50","105.00","105.00","86.25",10,5,70,30,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
126,"CME_MINI:MES1!","15","1,133.75","717.50","416.25","71.43","73.33","66.67","3.70","3.46","4.23","313.75","91,162.50",21,15,6,0,0,0,"53.99","47.83","69.38","103.58","91.70","136.25","70.00","72.81","64.38","260.00","227.50","260.00","92.50","92.50","82.50",10,5,75,30,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
127,"CME_MINI:MES1!","15","-1,686.25","-955.00","-731.25","38.36","40.76","35.81","0.87","0.86","0.88","4,257.50","143,893.75",305,157,148,0,0,0,"-5.53","-6.08","-4.94","98.91","94.43","104.32","70.53","75.26","65.89","577.50","280.00","577.50","625.00","625.00","427.50",10,5,35,35,1,2,5,8,0,14,0,15,50,"false",7,20,"false","false","false","Normal"
